"Input","Output","InputBytes","OutputBytes","SavedPercent","Status"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\room_id_heatmap.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\room_id_heatmap.webp.jxl","10860","17844","-64.31","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\score_distribution.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\score_distribution.png.jxl","91161","80601","11.58","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\score_distribution.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\score_distribution.webp.jxl","10394","19059","-83.37","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\sent_id_correlation.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\sent_id_correlation.png.jxl","209147","432609","-106.84","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\sent_id_correlation.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\sent_id_correlation.webp.jxl","25202","46603","-84.92","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\sent_id_heatmap.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\sent_id_heatmap.png.jxl","453557","304941","32.77","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\sent_id_heatmap.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\sent_id_heatmap.webp.jxl","20880","33536","-60.61","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\spkr_id_correlation.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\spkr_id_correlation.png.jxl","147757","325035","-119.98","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\spkr_id_correlation.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\spkr_id_correlation.webp.jxl","25326","48632","-92.02","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\spkr_id_heatmap.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\spkr_id_heatmap.png.jxl","361729","243844","32.59","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\spkr_id_heatmap.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\spkr_id_heatmap.webp.jxl","23314","37640","-61.45","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_J-SpAW-PA\det_curve.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_J-SpAW-PA\det_curve.png.jxl","208238","139814","32.86","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_J-SpAW-PA\det_curve.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_J-SpAW-PA\det_curve.webp.jxl","18358","23442","-27.69","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_J-SpAW-PA\env_id_correlation.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_J-SpAW-PA\env_id_correlation.png.jxl","97884","93168","4.82","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_J-SpAW-PA\env_id_correlation.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_J-SpAW-PA\env_id_correlation.webp.jxl","11646","21849","-87.61","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_J-SpAW-PA\env_id_heatmap.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_J-SpAW-PA\env_id_heatmap.png.jxl","97552","66689","31.64","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_J-SpAW-PA\env_id_heatmap.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_J-SpAW-PA\env_id_heatmap.webp.jxl","14998","19628","-30.87","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_J-SpAW-PA\mic_id_correlation.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_J-SpAW-PA\mic_id_correlation.png.jxl","98237","75597","23.05","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_J-SpAW-PA\mic_id_correlation.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_J-SpAW-PA\mic_id_correlation.webp.jxl","10156","18258","-79.78","ok"
